Transaction_ID,Product_ID,Plant_ID,Material_ID,Production_Date,Units_Produced,Material_KG,Machine_Hours,Material_Cost,Labor_Cost,Scrap_Rate
T0004312,P0009,PLANT-EAST,RPET,2025-03-09,26950,890.442,1.4184,2942.73,48.65,0.052
T0004313,P0033,PLANT-EAST,PLA Paper,2025-03-11,4308,47.397,0.0783,194.82,2.69,0.022
T0004314,P0053,PLANT-EAST,PLA Paper,2025-03-11,2095,27.194,0.0381,111.78,1.31,0.022
T0004315,P0047,PLANT-CENTRAL,Molded Fiber,2025-03-16,3805,76.113,0.1464,159.56,4.69,0.048
T0004316,P0002,PLANT-WEST,Molded Fiber,2025-03-16,4848,96.975,0.1865,203.3,7.26,0.048
T0004317,P0015,PLANT-CENTRAL,PLA Paper,2025-03-16,4401,32.441,0.0459,133.35,1.47,0.017
T0004318,P0029,PLANT-EAST,RPET,2025-03-19,40839,1532.304,2.1495,5063.96,73.73,0.052
T0004319,P0052,PLANT-SOUTH,Molded Fiber,2025-03-19,21376,504.475,0.8222,1057.58,24.52,0.048
T0004320,P0069,PLANT-EAST,RPET,2025-03-19,17012,562.098,0.8954,1857.62,30.71,0.052
T0004321,P0047,PLANT-CENTRAL,Molded Fiber,2025-03-03,14723,294.475,0.5663,617.34,18.16,0.048
T0004322,P0040,PLANT-SOUTH,PLA Paper,2025-03-03,6189,40.168,0.0645,165.11,1.92,0.017
T0004323,P0075,PLANT-CENTRAL,PLA Paper,2025-03-03,8630,63.608,0.0899,261.46,2.88,0.017
T0004324,P0070,PLANT-WEST,PLA Paper,2025-03-28,8227,53.399,0.0857,219.5,3.34,0.017
T0004325,P0040,PLANT-SOUTH,PLA Paper,2025-03-25,39454,256.061,0.411,1052.54,12.26,0.017
T0004326,P0037,PLANT-EAST,Molded Fiber,2025-03-25,24794,585.141,0.9536,1226.69,32.71,0.048
T0004327,P0074,PLANT-WEST,RPET,2025-03-25,37357,1401.657,1.9662,4632.2,76.52,0.052
T0004328,P0067,PLANT-CENTRAL,Molded Fiber,2025-03-25,27697,653.661,1.0653,1370.33,34.15,0.048
T0004329,P0076,PLANT-SOUTH,Bagasse,2025-03-21,1929,28.947,0.0459,56.13,1.37,0.031
T0004330,P0060,PLANT-SOUTH,PLA Paper,2025-03-21,4317,31.819,0.045,130.79,1.34,0.017
T0004331,P0049,PLANT-EAST,RPET,2025-03-21,2816,78.861,0.1482,260.62,5.08,0.052
T0004332,P0010,PLANT-WEST,PLA Paper,2025-03-27,27709,179.832,0.2886,739.2,11.23,0.017
T0004333,P0042,PLANT-WEST,Molded Fiber,2025-03-27,25719,689.284,0.9892,1445.01,38.5,0.048
T0004334,P0033,PLANT-EAST,PLA Paper,2025-03-27,30699,337.693,0.5582,1388.09,19.15,0.022
T0004335,P0031,PLANT-CENTRAL,Bagasse,2025-03-27,22681,340.217,0.54,659.68,17.31,0.031
T0004336,P0054,PLANT-WEST,RPET,2025-03-17,34859,1151.765,1.8347,3806.35,71.41,0.052
T0004337,P0048,PLANT-SOUTH,PLA Paper,2025-03-17,31515,346.669,0.573,1424.98,17.09,0.022
T0004338,P0008,PLANT-SOUTH,PLA Paper,2025-03-24,32146,417.258,0.5845,1715.14,17.43,0.022
T0004339,P0011,PLANT-CENTRAL,Bagasse,2025-03-24,20981,421.727,0.4996,817.73,16.02,0.031
T0004340,P0022,PLANT-WEST,Molded Fiber,2025-03-24,19763,466.422,0.7601,977.81,29.58,0.048
T0004341,P0079,PLANT-CENTRAL,RPET,2025-03-07,30055,841.565,1.5819,2781.21,50.72,0.052
T0004342,P0064,PLANT-SOUTH,RPET,2025-03-07,23982,671.498,1.2622,2219.17,37.64,0.052
T0004343,P0080,PLANT-SOUTH,PLA Paper,2025-03-16,26133,143.733,0.2722,590.81,8.12,0.017
T0004344,P0064,PLANT-SOUTH,RPET,2025-03-06,38501,1078.03,2.0264,3562.67,60.43,0.052
T0004345,P0043,PLANT-CENTRAL,PLA Paper,2025-03-06,36705,541.039,0.6674,2223.94,21.4,0.022
T0004346,P0025,PLANT-EAST,PLA Paper,2025-03-06,16672,108.204,0.1737,444.77,5.96,0.017
T0004347,P0007,PLANT-CENTRAL,Molded Fiber,2025-03-06,27956,659.784,1.0753,1383.17,34.47,0.048
T0004348,P0029,PLANT-EAST,RPET,2025-03-23,12693,476.243,0.6681,1573.89,22.91,0.052
T0004349,P0077,PLANT-EAST,Molded Fiber,2025-03-23,14707,294.16,0.5657,616.68,19.4,0.048
T0004350,P0056,PLANT-SOUTH,Bagasse,2025-03-17,32747,658.218,0.7797,1276.28,23.25,0.031
T0004351,P0066,PLANT-WEST,Bagasse,2025-03-17,37164,657.804,0.8849,1275.48,34.44,0.031
T0004352,P0040,PLANT-SOUTH,PLA Paper,2025-03-17,13560,88.008,0.1413,361.76,4.21,0.017
T0004353,P0077,PLANT-EAST,Molded Fiber,2025-03-17,37964,759.286,1.4602,1591.77,50.08,0.048
T0004354,P0004,PLANT-SOUTH,RPET,2025-03-21,24147,676.135,1.2709,2234.49,37.9,0.052
T0004355,P0040,PLANT-SOUTH,PLA Paper,2025-03-21,27729,179.964,0.2888,739.74,8.61,0.017
T0004356,P0002,PLANT-WEST,Molded Fiber,2025-03-21,40825,816.513,1.5702,1711.74,61.11,0.048
T0004357,P0066,PLANT-WEST,Bagasse,2025-03-21,18435,326.308,0.4389,632.71,17.08,0.031
T0004358,P0037,PLANT-EAST,Molded Fiber,2025-03-05,38064,898.312,1.464,1883.22,50.22,0.048
T0004359,P0076,PLANT-SOUTH,Bagasse,2025-03-02,35024,525.372,0.8339,1018.7,24.87,0.031
T0004360,P0057,PLANT-EAST,Molded Fiber,2025-03-02,15195,407.236,0.5844,853.73,20.05,0.048
T0004361,P0008,PLANT-SOUTH,PLA Paper,2025-03-02,33916,440.232,0.6167,1809.57,18.39,0.022
T0004362,P0024,PLANT-SOUTH,RPET,2025-03-02,20262,669.478,1.0665,2212.49,31.8,0.052
T0004363,P0037,PLANT-EAST,Molded Fiber,2025-03-08,7038,166.117,0.2707,348.25,9.29,0.048
T0004364,P0038,PLANT-WEST,PLA Paper,2025-03-11,14061,182.516,0.2557,750.23,9.95,0.022
T0004365,P0008,PLANT-SOUTH,PLA Paper,2025-03-11,13037,169.231,0.2371,695.62,7.07,0.022
T0004366,P0071,PLANT-CENTRAL,Bagasse,2025-03-11,14499,291.44,0.3452,565.1,11.07,0.031
T0004367,P0045,PLANT-EAST,PLA Paper,2025-03-14,7775,57.303,0.081,235.54,2.78,0.017
T0004368,P0037,PLANT-EAST,Molded Fiber,2025-03-14,5095,120.256,0.196,252.1,6.72,0.048
T0004369,P0055,PLANT-CENTRAL,PLA Paper,2025-03-14,8880,57.638,0.0925,236.92,2.97,0.017
T0004370,P0045,PLANT-EAST,PLA Paper,2025-03-18,13345,98.359,0.139,404.31,4.77,0.017
T0004371,P0017,PLANT-EAST,Molded Fiber,2025-03-05,27835,556.702,1.0706,1167.07,36.72,0.048
T0004372,P0054,PLANT-WEST,RPET,2025-03-05,22533,744.515,1.186,2460.47,46.16,0.052
T0004373,P0070,PLANT-WEST,PLA Paper,2025-03-05,32025,207.845,0.3336,854.35,12.98,0.017
T0004374,P0036,PLANT-SOUTH,Bagasse,2025-03-09,22579,399.666,0.5376,774.95,16.03,0.031
T0004375,P0049,PLANT-EAST,RPET,2025-03-09,18277,511.768,0.962,1691.29,33.0,0.052
T0004376,P0033,PLANT-EAST,PLA Paper,2025-03-05,2218,24.407,0.0403,100.32,1.38,0.022
T0004377,P0021,PLANT-EAST,Bagasse,2025-03-11,13118,232.201,0.3123,450.24,10.71,0.031
T0004378,P0070,PLANT-WEST,PLA Paper,2025-03-11,11909,77.292,0.1241,317.71,4.83,0.017
T0004379,P0039,PLANT-CENTRAL,RPET,2025-03-11,9253,305.725,0.487,1010.36,15.61,0.052
T0004380,P0014,PLANT-WEST,RPET,2025-03-11,4926,184.83,0.2593,610.82,10.09,0.052
T0004381,P0027,PLANT-CENTRAL,Molded Fiber,2025-03-07,23409,627.379,0.9004,1315.24,28.87,0.048
T0004382,P0009,PLANT-EAST,RPET,2025-03-07,19221,635.079,1.0117,2098.81,34.7,0.052
T0004383,P0038,PLANT-WEST,PLA Paper,2025-03-07,16215,210.48,0.2948,865.18,11.47,0.022
T0004384,P0079,PLANT-CENTRAL,RPET,2025-03-07,28236,790.616,1.4861,2612.83,47.65,0.052
T0004385,P0022,PLANT-WEST,Molded Fiber,2025-03-08,8864,209.202,0.3409,438.57,13.27,0.048
T0004386,P0017,PLANT-EAST,Molded Fiber,2025-03-05,14024,280.483,0.5394,588.0,18.5,0.048
T0004387,P0057,PLANT-EAST,Molded Fiber,2025-03-05,23694,635.008,0.9113,1331.23,31.26,0.048
T0004388,P0012,PLANT-SOUTH,Molded Fiber,2025-03-05,31040,831.898,1.1939,1743.99,35.6,0.048
T0004389,P0033,PLANT-EAST,PLA Paper,2025-03-20,20345,223.802,0.3699,919.94,12.69,0.022
T0004390,P0064,PLANT-SOUTH,RPET,2025-03-20,15868,444.308,0.8352,1468.35,24.9,0.052
T0004391,P0052,PLANT-SOUTH,Molded Fiber,2025-03-20,23652,558.195,0.9097,1170.2,27.13,0.048
T0004392,P0011,PLANT-CENTRAL,Bagasse,2025-03-06,25566,513.888,0.6087,996.43,19.52,0.031
T0004393,P0056,PLANT-SOUTH,Bagasse,2025-03-06,32564,654.546,0.7753,1269.17,23.12,0.031
T0004394,P0053,PLANT-EAST,PLA Paper,2025-03-23,5500,71.39,0.1,293.45,3.43,0.022
T0004395,P0064,PLANT-SOUTH,RPET,2025-03-23,8809,246.654,0.4636,815.14,13.83,0.052
T0004396,P0022,PLANT-WEST,Molded Fiber,2025-03-23,10414,245.792,0.4006,515.28,15.59,0.048
T0004397,P0079,PLANT-CENTRAL,RPET,2025-03-12,16888,472.869,0.8889,1562.74,28.5,0.052
T0004398,P0034,PLANT-WEST,RPET,2025-03-07,14779,413.827,0.7779,1367.62,30.27,0.052
T0004399,P0047,PLANT-CENTRAL,Molded Fiber,2025-03-07,4980,99.601,0.1915,208.8,6.14,0.048
T0004400,P0042,PLANT-WEST,Molded Fiber,2025-03-07,11469,307.384,0.4411,644.4,17.17,0.048
T0004401,P0004,PLANT-SOUTH,RPET,2025-03-07,14522,406.62,0.7643,1343.8,22.79,0.052
T0004402,P0037,PLANT-EAST,Molded Fiber,2025-03-14,17472,412.355,0.672,864.46,23.05,0.048
T0004403,P0055,PLANT-CENTRAL,PLA Paper,2025-03-14,21418,139.004,0.2231,571.37,7.15,0.017
T0004404,P0075,PLANT-CENTRAL,PLA Paper,2025-03-14,29498,217.404,0.3073,893.64,9.85,0.017
T0004405,P0042,PLANT-WEST,Molded Fiber,2025-03-26,20227,542.109,0.778,1136.48,30.28,0.048
T0004406,P0067,PLANT-CENTRAL,Molded Fiber,2025-03-26,40456,954.784,1.556,2001.61,49.89,0.048
T0004407,P0063,PLANT-CENTRAL,PLA Paper,2025-03-26,35865,394.515,0.6521,1621.66,20.91,0.022
T0004408,P0060,PLANT-SOUTH,PLA Paper,2025-03-19,1792,13.211,0.0187,54.3,0.56,0.017
T0004409,P0069,PLANT-EAST,RPET,2025-03-19,4013,132.613,0.2112,438.26,7.25,0.052
T0004410,P0050,PLANT-WEST,PLA Paper,2025-03-12,30143,165.789,0.314,681.48,12.22,0.017
T0004411,P0057,PLANT-EAST,Molded Fiber,2025-03-12,13863,371.54,0.5332,778.9,18.29,0.048
T0004412,P0074,PLANT-WEST,RPET,2025-03-11,8586,322.165,0.4519,1064.69,17.59,0.052
T0004413,P0014,PLANT-WEST,RPET,2025-03-11,5650,212.02,0.2974,700.68,11.58,0.052
T0004414,P0013,PLANT-EAST,PLA Paper,2025-03-11,13385,197.302,0.2434,811.01,8.35,0.022
T0004415,P0008,PLANT-SOUTH,PLA Paper,2025-03-11,9270,120.337,0.1686,494.65,5.03,0.022
T0004416,P0046,PLANT-WEST,Bagasse,2025-03-20,17659,264.892,0.4205,513.62,16.36,0.031
T0004417,P0069,PLANT-EAST,RPET,2025-03-20,19822,654.945,1.0433,2164.46,35.79,0.052
T0004418,P0080,PLANT-SOUTH,PLA Paper,2025-03-20,40544,222.993,0.4223,916.61,12.59,0.017
T0004419,P0005,PLANT-EAST,PLA Paper,2025-03-16,7719,42.456,0.0804,174.51,2.76,0.017
T0004420,P0016,PLANT-SOUTH,Bagasse,2025-03-16,13022,195.341,0.3101,378.77,9.25,0.031
T0004421,P0002,PLANT-WEST,Molded Fiber,2025-03-16,13223,264.475,0.5086,554.44,19.79,0.048
T0004422,P0040,PLANT-SOUTH,PLA Paper,2025-03-16,13387,86.885,0.1395,357.14,4.16,0.017
T0004423,P0022,PLANT-WEST,Molded Fiber,2025-03-13,3127,73.8,0.1203,154.71,4.68,0.048
T0004424,P0041,PLANT-EAST,Bagasse,2025-03-13,2943,59.159,0.0701,114.71,2.4,0.031
T0004425,P0047,PLANT-CENTRAL,Molded Fiber,2025-03-13,1840,36.807,0.0708,77.16,2.27,0.048
T0004426,P0006,PLANT-WEST,Bagasse,2025-03-13,2731,48.351,0.065,93.75,2.53,0.031
T0004427,P0035,PLANT-CENTRAL,PLA Paper,2025-03-08,3295,18.123,0.0343,74.49,1.1,0.017
T0004428,P0050,PLANT-WEST,PLA Paper,2025-03-08,1832,10.077,0.0191,41.42,0.74,0.017
T0004429,P0020,PLANT-SOUTH,PLA Paper,2025-03-08,2653,14.592,0.0276,59.98,0.82,0.017
T0004430,P0028,PLANT-SOUTH,PLA Paper,2025-03-27,12767,188.199,0.2321,773.59,6.92,0.022
T0004431,P0072,PLANT-SOUTH,Molded Fiber,2025-03-23,40338,1081.065,1.5515,2266.34,46.26,0.048
T0004432,P0042,PLANT-WEST,Molded Fiber,2025-03-23,33866,907.625,1.3026,1902.74,50.7,0.048
T0004433,P0025,PLANT-EAST,PLA Paper,2025-03-01,4022,26.105,0.0419,107.31,1.44,0.017
T0004434,P0044,PLANT-SOUTH,RPET,2025-03-01,1951,73.219,0.1027,241.98,3.06,0.052
T0004435,P0060,PLANT-SOUTH,PLA Paper,2025-03-08,9938,73.25,0.1035,301.09,3.09,0.017
T0004436,P0033,PLANT-EAST,PLA Paper,2025-03-08,13860,152.47,0.252,626.73,8.64,0.022
T0004437,P0057,PLANT-EAST,Molded Fiber,2025-03-27,11300,302.851,0.4346,634.9,14.91,0.048
T0004438,P0003,PLANT-CENTRAL,PLA Paper,2025-03-27,8194,90.137,0.149,370.51,4.78,0.022
T0004439,P0032,PLANT-SOUTH,Molded Fiber,2025-03-06,32034,640.693,1.2321,1343.15,36.74,0.048
T0004440,P0027,PLANT-CENTRAL,Molded Fiber,2025-03-06,40147,1075.941,1.5441,2255.6,49.5,0.048
T0004441,P0001,PLANT-EAST,Bagasse,2025-03-06,35921,538.824,0.8553,1044.78,29.34,0.031
T0004442,P0003,PLANT-CENTRAL,PLA Paper,2025-03-09,32291,355.206,0.5871,1460.07,18.82,0.022
T0004443,P0056,PLANT-SOUTH,Bagasse,2025-03-09,27022,543.156,0.6434,1053.18,19.19,0.031
T0004444,P0053,PLANT-EAST,PLA Paper,2025-03-09,30444,395.173,0.5535,1624.36,18.99,0.022
T0004445,P0063,PLANT-CENTRAL,PLA Paper,2025-03-09,35137,386.507,0.6389,1588.74,20.48,0.022
T0004446,P0041,PLANT-EAST,Bagasse,2025-03-05,12251,246.261,0.2917,477.5,10.01,0.031
T0004447,P0013,PLANT-EAST,PLA Paper,2025-03-05,10395,153.233,0.189,629.86,6.48,0.022
T0004448,P0058,PLANT-WEST,PLA Paper,2025-03-20,4431,65.32,0.0806,268.5,3.14,0.022
T0004449,P0033,PLANT-EAST,PLA Paper,2025-03-20,10149,111.642,0.1845,458.9,6.33,0.022
T0004450,P0059,PLANT-CENTRAL,RPET,2025-03-20,7395,277.482,0.3892,917.02,12.48,0.052
T0004451,P0033,PLANT-EAST,PLA Paper,2025-03-09,9282,102.104,0.1688,419.7,5.79,0.022
T0004452,P0031,PLANT-CENTRAL,Bagasse,2025-03-09,5079,76.192,0.1209,147.74,3.88,0.031
T0004453,P0065,PLANT-EAST,PLA Paper,2025-03-09,7633,41.986,0.0795,172.58,2.73,0.017
T0004454,P0033,PLANT-EAST,PLA Paper,2025-03-17,13788,151.672,0.2507,623.45,8.6,0.022
T0004455,P0034,PLANT-WEST,RPET,2025-03-17,13587,380.451,0.7151,1257.32,27.83,0.052
T0004456,P0077,PLANT-EAST,Molded Fiber,2025-03-17,22522,450.441,0.8662,944.3,29.71,0.048
T0004457,P0018,PLANT-WEST,PLA Paper,2025-03-17,19098,210.08,0.3472,863.53,13.51,0.022
T0004458,P0059,PLANT-CENTRAL,RPET,2025-03-05,40703,1527.199,2.1423,5047.09,68.68,0.052
T0004459,P0012,PLANT-SOUTH,Molded Fiber,2025-03-05,18339,491.493,0.7054,1030.37,21.03,0.048
T0004460,P0061,PLANT-EAST,Bagasse,2025-03-11,28206,423.096,0.6716,820.38,23.04,0.031
T0004461,P0057,PLANT-EAST,Molded Fiber,2025-03-11,25438,681.739,0.9784,1429.2,33.56,0.048
T0004462,P0042,PLANT-WEST,Molded Fiber,2025-03-11,29657,794.823,1.1407,1666.27,44.4,0.048
T0004463,P0009,PLANT-EAST,RPET,2025-03-11,13719,453.289,0.7221,1498.03,24.77,0.052
T0004464,P0042,PLANT-WEST,Molded Fiber,2025-03-06,4787,128.313,0.1841,269.0,7.17,0.048
T0004465,P0072,PLANT-SOUTH,Molded Fiber,2025-03-23,18782,503.373,0.7224,1055.27,21.54,0.048
T0004466,P0035,PLANT-CENTRAL,PLA Paper,2025-03-23,19056,104.813,0.1985,430.84,6.36,0.017
T0004467,P0064,PLANT-SOUTH,RPET,2025-03-04,42808,1198.624,2.2531,3961.21,67.19,0.052
T0004468,P0053,PLANT-EAST,PLA Paper,2025-03-04,14637,189.988,0.2661,780.95,9.13,0.022
T0004469,P0055,PLANT-CENTRAL,PLA Paper,2025-03-04,20905,135.676,0.2178,557.7,6.98,0.017
T0004470,P0062,PLANT-WEST,Molded Fiber,2025-03-04,24913,498.277,0.9582,1044.59,37.29,0.048
T0004471,P0016,PLANT-SOUTH,Bagasse,2025-03-17,30476,457.152,0.7256,886.42,21.64,0.031
T0004472,P0048,PLANT-SOUTH,PLA Paper,2025-03-26,27208,299.294,0.4947,1230.25,14.75,0.022
T0004473,P0056,PLANT-SOUTH,Bagasse,2025-03-26,15031,302.143,0.3579,585.86,10.67,0.031
T0004474,P0066,PLANT-WEST,Bagasse,2025-03-26,30412,538.307,0.7241,1043.78,28.18,0.031
T0004475,P0047,PLANT-CENTRAL,Molded Fiber,2025-03-26,28123,562.479,1.0817,1179.18,34.68,0.048
T0004476,P0045,PLANT-EAST,PLA Paper,2025-03-10,13524,99.679,0.1409,409.73,4.83,0.017
T0004477,P0007,PLANT-CENTRAL,Molded Fiber,2025-03-11,11160,263.393,0.4293,552.18,13.76,0.048
T0004478,P0002,PLANT-WEST,Molded Fiber,2025-03-11,11455,229.118,0.4406,480.32,17.15,0.048
T0004479,P0059,PLANT-CENTRAL,RPET,2025-03-11,13899,521.52,0.7316,1723.52,23.45,0.052
T0004480,P0051,PLANT-CENTRAL,Bagasse,2025-03-11,5051,89.413,0.1203,173.37,3.86,0.031
T0004481,P0050,PLANT-WEST,PLA Paper,2025-03-23,26303,144.667,0.274,594.66,10.66,0.017
T0004482,P0022,PLANT-WEST,Molded Fiber,2025-03-23,21578,509.259,0.83,1067.61,32.3,0.048
T0004483,P0018,PLANT-WEST,PLA Paper,2025-03-23,22838,251.223,0.4152,1032.65,16.16,0.022
T0004484,P0026,PLANT-WEST,Bagasse,2025-03-23,27436,551.474,0.6533,1069.31,25.42,0.031
T0004485,P0054,PLANT-WEST,RPET,2025-03-14,29602,978.061,1.558,3232.29,60.64,0.052
T0004486,P0040,PLANT-SOUTH,PLA Paper,2025-04-13,5187,33.665,0.054,138.2,1.61,0.017
T0004487,P0039,PLANT-CENTRAL,RPET,2025-04-13,11186,369.609,0.5888,1178.05,18.88,0.052
T0004488,P0021,PLANT-EAST,Bagasse,2025-04-05,43172,764.15,1.0279,1491.16,35.26,0.031
T0004489,P0008,PLANT-SOUTH,PLA Paper,2025-04-05,4379,56.844,0.0796,233.35,2.37,0.022
T0004490,P0025,PLANT-EAST,PLA Paper,2025-04-05,3299,21.411,0.0344,87.89,1.18,0.017
T0004491,P0074,PLANT-WEST,RPET,2025-04-05,35258,1322.897,1.8557,4216.47,72.22,0.052
T0004492,P0066,PLANT-WEST,Bagasse,2025-04-05,15979,282.835,0.3805,551.92,14.81,0.031
T0004493,P0067,PLANT-CENTRAL,Molded Fiber,2025-04-05,13787,325.392,0.5303,673.14,17.0,0.048
T0004494,P0072,PLANT-SOUTH,Molded Fiber,2025-04-05,40015,1072.422,1.5391,2218.52,45.89,0.048
T0004495,P0025,PLANT-EAST,PLA Paper,2025-04-07,23950,155.436,0.2495,638.08,8.56,0.017
T0004496,P0009,PLANT-EAST,RPET,2025-04-07,42294,1397.404,2.226,4453.95,76.35,0.052
T0004497,P0028,PLANT-SOUTH,PLA Paper,2025-04-07,35953,529.962,0.6537,2175.55,19.49,0.022
T0004498,P0010,PLANT-WEST,PLA Paper,2025-04-07,14281,92.689,0.1488,380.5,5.79,0.017
T0004499,P0043,PLANT-CENTRAL,PLA Paper,2025-04-15,21809,321.477,0.3965,1319.69,12.71,0.022
T0004500,P0035,PLANT-CENTRAL,PLA Paper,2025-04-14,3488,19.186,0.0363,78.76,1.16,0.017
T0004501,P0070,PLANT-WEST,PLA Paper,2025-04-14,3052,19.813,0.0318,81.34,1.24,0.017
T0004502,P0025,PLANT-EAST,PLA Paper,2025-04-07,19136,124.195,0.1993,509.83,6.84,0.017
T0004503,P0047,PLANT-CENTRAL,Molded Fiber,2025-04-07,17447,348.95,0.6711,721.87,21.51,0.048
T0004504,P0037,PLANT-EAST,Molded Fiber,2025-04-07,13136,310.023,0.5053,641.34,17.33,0.048
T0004505,P0024,PLANT-SOUTH,RPET,2025-04-17,19533,645.395,1.0281,2057.07,30.66,0.052
T0004506,P0080,PLANT-SOUTH,PLA Paper,2025-04-17,42054,231.302,0.4381,949.52,13.06,0.017
T0004507,P0055,PLANT-CENTRAL,PLA Paper,2025-04-17,20102,130.467,0.2094,535.58,6.71,0.017
T0004508,P0049,PLANT-EAST,RPET,2025-04-17,24917,697.696,1.3115,2223.77,44.98,0.052
T0004509,P0002,PLANT-WEST,Molded Fiber,2025-04-28,10193,203.866,0.392,421.74,15.26,0.048
T0004510,P0062,PLANT-WEST,Molded Fiber,2025-04-28,11968,239.37,0.4603,495.18,17.92,0.048
T0004511,P0008,PLANT-SOUTH,PLA Paper,2025-04-16,8268,107.331,0.1503,440.6,4.48,0.022
T0004512,P0014,PLANT-WEST,RPET,2025-04-16,13793,517.523,0.726,1649.5,28.25,0.052
T0004513,P0057,PLANT-EAST,Molded Fiber,2025-04-16,6408,171.751,0.2465,355.3,8.45,0.048
T0004514,P0068,PLANT-SOUTH,PLA Paper,2025-04-16,11819,153.411,0.2149,629.77,6.41,0.022
T0004515,P0068,PLANT-SOUTH,PLA Paper,2025-04-23,21317,276.708,0.3876,1135.91,11.56,0.022
T0004516,P0063,PLANT-CENTRAL,PLA Paper,2025-04-23,17144,188.586,0.3117,774.16,9.99,0.022
T0004517,P0051,PLANT-CENTRAL,Bagasse,2025-04-23,15727,278.378,0.3745,543.23,12.01,0.031
T0004518,P0046,PLANT-WEST,Bagasse,2025-04-23,35343,530.155,0.8415,1034.54,32.75,0.031
T0004519,P0036,PLANT-SOUTH,Bagasse,2025-04-02,41915,741.902,0.998,1447.75,29.76,0.031
T0004520,P0031,PLANT-CENTRAL,Bagasse,2025-04-02,17192,257.895,0.4094,503.26,13.12,0.031
T0004521,P0059,PLANT-CENTRAL,RPET,2025-04-25,10770,404.092,0.5668,1287.96,18.17,0.052
T0004522,P0063,PLANT-CENTRAL,PLA Paper,2025-04-25,7874,86.617,0.1432,355.57,4.59,0.022
T0004523,P0055,PLANT-CENTRAL,PLA Paper,2025-04-25,12215,79.28,0.1272,325.45,4.08,0.017
T0004524,P0010,PLANT-WEST,PLA Paper,2025-04-08,1981,12.861,0.0206,52.8,0.8,0.017
T0004525,P0017,PLANT-EAST,Molded Fiber,2025-04-08,1513,30.273,0.0582,62.63,2.0,0.048
T0004526,P0012,PLANT-SOUTH,Molded Fiber,2025-04-08,3275,87.776,0.126,181.58,3.76,0.048
T0004527,P0021,PLANT-EAST,Bagasse,2025-04-08,3568,63.165,0.085,123.26,2.91,0.031
T0004528,P0028,PLANT-SOUTH,PLA Paper,2025-04-04,35251,519.608,0.6409,2133.04,19.11,0.022
T0004529,P0046,PLANT-WEST,Bagasse,2025-04-27,38380,575.712,0.9138,1123.44,35.57,0.031
T0004530,P0050,PLANT-WEST,PLA Paper,2025-04-27,32209,177.153,0.3355,727.23,13.06,0.017
T0004531,P0041,PLANT-EAST,Bagasse,2025-04-27,17639,354.561,0.42,691.89,14.41,0.031
T0004532,P0080,PLANT-SOUTH,PLA Paper,2025-04-20,12137,66.755,0.1264,274.04,3.77,0.017
T0004533,P0079,PLANT-CENTRAL,RPET,2025-04-20,7930,222.051,0.4174,707.74,13.38,0.052
T0004534,P0071,PLANT-CENTRAL,Bagasse,2025-04-20,9147,183.866,0.2178,358.8,6.98,0.031
T0004535,P0013,PLANT-EAST,PLA Paper,2025-04-11,17524,258.312,0.3186,1060.4,10.93,0.022
T0004536,P0061,PLANT-EAST,Bagasse,2025-04-15,6325,94.876,0.1506,185.14,5.17,0.031
T0004537,P0009,PLANT-EAST,RPET,2025-04-28,41874,1383.533,2.2039,4409.73,75.59,0.052
T0004538,P0075,PLANT-CENTRAL,PLA Paper,2025-04-28,19475,143.531,0.2029,589.21,6.5,0.017
T0004539,P0061,PLANT-EAST,Bagasse,2025-04-03,8805,132.09,0.2097,257.76,7.19,0.031
T0004540,P0061,PLANT-EAST,Bagasse,2025-04-22,7674,115.124,0.1827,224.65,6.27,0.031
T0004541,P0024,PLANT-SOUTH,RPET,2025-04-22,8947,295.617,0.4709,942.22,14.04,0.052
T0004542,P0003,PLANT-CENTRAL,PLA Paper,2025-04-22,8736,96.098,0.1588,394.49,5.09,0.022
T0004543,P0055,PLANT-CENTRAL,PLA Paper,2025-04-22,8860,57.505,0.0923,236.07,2.96,0.017
T0004544,P0044,PLANT-SOUTH,RPET,2025-04-25,38220,1434.032,2.0116,4570.69,59.99,0.052
T0004545,P0069,PLANT-EAST,RPET,2025-04-21,4390,145.055,0.2311,462.33,7.93,0.052
T0004546,P0042,PLANT-WEST,Molded Fiber,2025-04-19,6042,161.926,0.2324,334.98,9.04,0.048
T0004547,P0028,PLANT-SOUTH,PLA Paper,2025-04-19,7277,107.264,0.1323,440.33,3.95,0.022
T0004548,P0014,PLANT-WEST,RPET,2025-04-23,6385,239.566,0.3361,763.57,13.08,0.052
T0004549,P0042,PLANT-WEST,Molded Fiber,2025-04-23,5568,149.23,0.2142,308.71,8.34,0.048
T0004550,P0063,PLANT-CENTRAL,PLA Paper,2025-04-23,7347,80.824,0.1336,331.79,4.28,0.022
T0004551,P0057,PLANT-EAST,Molded Fiber,2025-04-13,24872,666.594,0.9566,1378.98,32.81,0.048
T0004552,P0075,PLANT-CENTRAL,PLA Paper,2025-04-08,17853,131.58,0.186,540.15,5.96,0.017
T0004553,P0003,PLANT-CENTRAL,PLA Paper,2025-04-08,32204,354.249,0.5855,1454.23,18.77,0.022
T0004554,P0038,PLANT-WEST,PLA Paper,2025-04-08,41425,537.701,0.7532,2207.32,29.31,0.022
T0004555,P0006,PLANT-WEST,Bagasse,2025-04-08,41623,736.733,0.991,1437.66,38.57,0.031
