Transaction_ID,Order_ID,Invoice_ID,Invoice_Line_ID,Transaction_Date,Posting_Date,Customer_ID,Product_ID,Sales_Org,Business_Unit,Region_ID,Currency_Code,Quantity_Sold,Gross_Sales_Amount,Discount_Amount,Net_Sales_Amount,Returns_Amount,Rebate_Amount,Freight_Revenue,Tax_Amount,COGS_Amount
T0000617,O0000206,INV0000309,IL0000617,2026-08-21,2026-08-21,C00498,P0002,SO02,BU1,R01,USD,1178,779.95,71.79,683.97,5.76,21.37,2.94,13.61,446.15
T0000618,O0000206,INV0000309,IL0000618,2026-11-28,2026-11-28,C00063,P0101,SO02,BU4,R04,USD,227,548.14,8.43,527.8,1.33,25.04,14.46,35.29,332.8
T0000619,O0000207,INV0000310,IL0000619,2026-09-01,2026-09-01,C00337,P0002,SO01,BU3,R01,USD,99,191.27,18.19,169.14,1.86,7.7,5.62,6.74,143.08
T0000620,O0000207,INV0000310,IL0000620,2025-08-05,2025-08-05,C00442,P0013,SO05,BU2,R01,USD,671,1550.75,115.34,1364.32,25.46,51.37,5.74,22.93,855.15
T0000621,O0000207,INV0000311,IL0000621,2026-02-13,2026-02-13,C00046,P0006,SO02,BU3,R03,USD,343,417.53,16.8,373.27,8.11,21.92,2.57,20.93,235.32
T0000622,O0000208,INV0000311,IL0000622,2025-11-14,2025-11-14,C00463,P0034,SO02,BU4,R04,USD,206,494.73,25.36,447.44,7.27,24.09,9.43,13.25,315.47
T0000623,O0000208,INV0000312,IL0000623,2026-03-09,2026-03-09,C00416,P0095,SO05,BU4,R04,USD,391,523.59,22.31,500.51,0.64,9.84,9.71,24.04,284.2
T0000624,O0000208,INV0000312,IL0000624,2025-06-08,2025-06-08,C00477,P0127,SO02,BU1,R03,USD,1084,438.15,20.52,402.53,1.04,19.32,5.26,19.28,331.05
T0000625,O0000209,INV0000313,IL0000625,2025-11-04,2025-11-04,C00431,P0064,SO02,BU1,R04,USD,885,857.48,4.09,852.98,1.97,2.13,3.69,5.64,513.61
T0000626,O0000209,INV0000313,IL0000626,2026-11-08,2026-11-08,C00369,P0146,SO04,BU1,R01,USD,737,634.19,5.19,632.23,9.58,3.97,16.78,8.06,336.29
T0000627,O0000209,INV0000314,IL0000627,2026-02-07,2026-02-07,C00024,P0022,SO04,BU2,R04,USD,619,630.27,45.64,575.08,14.32,15.6,20.37,36.96,362.77
T0000628,O0000210,INV0000314,IL0000628,2025-07-11,2025-07-11,C00109,P0048,SO03,BU3,R03,USD,541,1356.4,14.42,1326.13,21.74,0.44,6.33,44.29,716.3
T0000629,O0000210,INV0000315,IL0000629,2026-12-10,2026-12-10,C00208,P0125,SO05,BU2,R04,USD,748,1514.03,145.82,1275.86,30.66,67.0,5.31,17.04,784.01
T0000630,O0000210,INV0000315,IL0000630,2025-01-17,2025-01-17,C00357,P0049,SO01,BU1,R03,USD,438,641.49,9.31,619.84,4.65,29.71,22.02,3.74,404.65
T0000631,O0000211,INV0000316,IL0000631,2026-04-20,2026-04-20,C00076,P0122,SO04,BU2,R02,USD,54,26.51,2.39,23.39,0.59,0.65,0.51,0.74,12.87
T0000632,O0000211,INV0000316,IL0000632,2025-09-06,2025-09-06,C00104,P0076,SO04,BU3,R04,USD,812,256.59,0.2,251.53,4.85,10.06,10.05,12.98,184.13
T0000633,O0000211,INV0000317,IL0000633,2026-09-03,2026-09-03,C00375,P0142,SO05,BU2,R04,USD,85,125.94,6.12,116.77,2.23,4.24,3.42,3.99,89.25
T0000634,O0000212,INV0000317,IL0000634,2025-03-04,2025-03-04,C00271,P0005,SO04,BU2,R04,USD,1190,1217.73,7.73,1172.5,32.62,27.94,23.06,77.07,753.22
T0000635,O0000212,INV0000318,IL0000635,2025-12-22,2025-12-22,C00230,P0112,SO01,BU1,R03,USD,340,322.66,6.2,311.85,3.33,4.12,2.84,7.4,237.01
T0000636,O0000212,INV0000318,IL0000636,2026-09-09,2026-09-09,C00437,P0120,SO05,BU1,R03,USD,610,1287.34,50.25,1187.95,16.1,66.64,33.6,39.28,747.78
T0000637,O0000213,INV0000319,IL0000637,2025-06-15,2025-06-15,C00319,P0054,SO05,BU2,R04,USD,186,364.75,4.71,347.18,2.18,12.15,1.47,24.15,217.56
T0000638,O0000213,INV0000319,IL0000638,2025-11-07,2025-11-07,C00121,P0054,SO03,BU2,R01,USD,106,301.89,10.83,279.57,2.36,11.24,2.11,9.85,217.56
T0000639,O0000213,INV0000320,IL0000639,2025-03-07,2025-03-07,C00173,P0111,SO04,BU4,R03,USD,474,238.04,5.33,229.79,1.84,4.46,3.38,14.12,117.37
T0000640,O0000214,INV0000320,IL0000640,2025-10-01,2025-10-01,C00459,P0039,SO02,BU1,R02,USD,223,460.74,42.69,415.93,6.05,11.58,15.51,3.08,235.47
T0000641,O0000214,INV0000321,IL0000641,2026-09-18,2026-09-18,C00313,P0027,SO03,BU2,R01,USD,95,145.78,2.44,143.28,0.52,1.65,2.11,7.1,99.7
T0000642,O0000214,INV0000321,IL0000642,2026-06-03,2026-06-03,C00256,P0026,SO05,BU1,R04,USD,754,809.34,11.15,771.5,20.6,19.55,13.46,13.25,562.76
T0000643,O0000215,INV0000322,IL0000643,2026-05-01,2026-05-01,C00175,P0074,SO02,BU1,R04,USD,360,146.74,5.47,138.94,3.32,2.91,3.9,7.33,76.66
T0000644,O0000215,INV0000322,IL0000644,2026-03-08,2026-03-08,C00404,P0059,SO05,BU1,R02,USD,888,1140.01,46.66,1060.44,15.69,53.45,36.23,2.21,662.68
T0000645,O0000215,INV0000323,IL0000645,2025-05-30,2025-05-30,C00395,P0003,SO02,BU1,R02,USD,152,61.77,1.94,57.6,1.82,0.56,0.15,2.66,42.78
T0000646,O0000216,INV0000323,IL0000646,2026-10-19,2026-10-19,C00078,P0148,SO02,BU2,R03,USD,1074,2982.5,125.06,2767.43,79.26,114.96,104.21,60.77,2034.17
T0000647,O0000216,INV0000324,IL0000647,2025-12-19,2025-12-19,C00005,P0072,SO02,BU1,R03,USD,310,635.44,28.35,604.19,3.91,19.03,20.04,29.5,421.02
T0000648,O0000216,INV0000324,IL0000648,2026-10-27,2026-10-27,C00208,P0051,SO05,BU2,R04,USD,182,50.72,1.7,46.12,1.1,2.06,0.26,0.92,38.43
T0000649,O0000217,INV0000325,IL0000649,2025-04-06,2025-04-06,C00262,P0142,SO05,BU2,R03,USD,1077,1173.61,74.6,1066.07,0.82,57.47,25.35,62.11,648.34
T0000650,O0000217,INV0000325,IL0000650,2025-11-08,2025-11-08,C00372,P0109,SO02,BU1,R02,USD,236,503.72,42.39,445.83,3.93,14.06,2.49,29.38,348.49
T0000651,O0000217,INV0000326,IL0000651,2026-04-05,2026-04-05,C00153,P0147,SO01,BU1,R01,USD,938,1017.82,24.03,967.56,22.77,32.56,29.1,45.08,755.74
T0000652,O0000218,INV0000326,IL0000652,2026-09-02,2026-09-02,C00120,P0090,SO05,BU2,R04,USD,592,1160.73,94.61,1054.77,19.94,8.94,17.53,7.77,796.85
T0000653,O0000218,INV0000327,IL0000653,2026-06-13,2026-06-13,C00299,P0050,SO02,BU4,R02,USD,940,415.1,29.54,374.4,10.32,1.87,1.03,12.48,302.52
T0000654,O0000218,INV0000327,IL0000654,2026-04-02,2026-04-02,C00040,P0095,SO02,BU1,R04,USD,834,1460.0,75.77,1374.9,17.29,21.17,29.13,42.35,873.89
T0000655,O0000219,INV0000328,IL0000655,2026-05-17,2026-05-17,C00375,P0107,SO01,BU2,R04,USD,305,466.77,22.63,422.46,6.41,24.85,9.58,20.54,293.21
T0000656,O0000219,INV0000328,IL0000656,2026-04-12,2026-04-12,C00243,P0009,SO01,BU2,R02,USD,1154,1345.68,128.08,1169.58,24.29,30.24,6.51,3.3,861.36
T0000657,O0000219,INV0000329,IL0000657,2025-06-06,2025-06-06,C00061,P0096,SO05,BU2,R03,USD,776,768.01,37.32,724.57,18.23,6.0,18.11,45.36,379.11
T0000658,O0000220,INV0000329,IL0000658,2025-10-18,2025-10-18,C00111,P0047,SO01,BU4,R04,USD,14,7.09,0.25,6.65,0.19,0.16,0.16,0.42,4.53
T0000659,O0000220,INV0000330,IL0000659,2026-01-22,2026-01-22,C00244,P0034,SO05,BU1,R02,USD,1043,1960.11,149.3,1812.59,39.23,16.06,57.07,79.27,989.87
T0000660,O0000220,INV0000330,IL0000660,2026-10-01,2026-10-01,C00210,P0100,SO03,BU4,R01,USD,819,888.7,4.07,854.96,17.87,21.66,9.86,9.91,448.61
T0000661,O0000221,INV0000331,IL0000661,2025-01-26,2025-01-26,C00293,P0080,SO03,BU2,R03,USD,263,499.52,4.25,481.21,14.31,14.89,15.14,17.58,373.66
T0000662,O0000221,INV0000331,IL0000662,2026-05-03,2026-05-03,C00258,P0005,SO04,BU4,R01,USD,1099,725.23,1.38,717.42,17.12,9.78,20.47,22.31,528.36
T0000663,O0000221,INV0000332,IL0000663,2026-07-01,2026-07-01,C00311,P0083,SO03,BU1,R04,USD,102,152.2,14.21,135.08,1.55,1.51,0.15,3.61,95.55
T0000664,O0000222,INV0000332,IL0000664,2025-04-04,2025-04-04,C00059,P0026,SO03,BU2,R02,USD,354,333.43,6.09,329.52,7.69,2.83,12.7,1.36,223.4
T0000665,O0000222,INV0000333,IL0000665,2025-11-30,2025-11-30,C00093,P0007,SO02,BU2,R03,USD,620,757.08,24.23,721.34,9.38,13.5,11.37,6.11,538.87
T0000666,O0000222,INV0000333,IL0000666,2025-07-27,2025-07-27,C00123,P0061,SO01,BU4,R02,USD,1051,2300.53,88.58,2239.11,7.94,7.67,42.77,75.89,1366.47
T0000667,O0000223,INV0000334,IL0000667,2026-02-22,2026-02-22,C00325,P0060,SO01,BU1,R03,USD,561,930.92,54.57,858.72,2.83,39.06,24.26,34.16,479.57
T0000668,O0000223,INV0000334,IL0000668,2026-04-02,2026-04-02,C00043,P0129,SO02,BU3,R02,USD,301,354.19,34.9,306.51,8.31,10.47,6.0,9.69,260.41
T0000669,O0000223,INV0000335,IL0000669,2025-01-02,2025-01-02,C00417,P0119,SO05,BU4,R01,USD,602,1158.07,19.38,1090.55,2.09,58.71,12.66,51.91,637.23
T0000670,O0000224,INV0000335,IL0000670,2025-12-26,2025-12-26,C00432,P0055,SO04,BU3,R04,USD,1055,982.31,15.86,950.46,15.74,3.78,3.53,55.25,663.61
T0000671,O0000224,INV0000336,IL0000671,2026-07-24,2026-07-24,C00144,P0111,SO02,BU3,R04,USD,1043,2853.96,90.84,2680.78,58.4,53.78,29.84,84.95,1971.39
T0000672,O0000224,INV0000336,IL0000672,2025-09-09,2025-09-09,C00340,P0083,SO01,BU3,R02,USD,441,620.8,37.22,575.71,0.3,23.62,16.05,19.2,298.34
T0000673,O0000225,INV0000337,IL0000673,2025-01-10,2025-01-10,C00345,P0045,SO04,BU2,R01,USD,1148,2950.82,207.53,2681.38,67.5,87.34,92.93,14.55,1952.7
T0000674,O0000225,INV0000337,IL0000674,2025-02-01,2025-02-01,C00457,P0114,SO04,BU4,R01,USD,732,2031.52,76.46,1943.39,36.65,43.21,68.19,133.83,1436.94
T0000675,O0000225,INV0000338,IL0000675,2025-05-08,2025-05-08,C00237,P0095,SO02,BU3,R03,USD,920,188.6,14.02,168.58,4.29,7.06,5.35,9.63,100.64
T0000676,O0000226,INV0000338,IL0000676,2026-10-03,2026-10-03,C00156,P0057,SO03,BU4,R02,USD,1021,2820.72,10.38,2727.79,41.7,109.23,68.38,187.94,1359.58
T0000677,O0000226,INV0000339,IL0000677,2026-10-16,2026-10-16,C00203,P0029,SO04,BU1,R02,USD,1175,1781.18,30.37,1715.97,10.35,72.38,47.89,21.08,1155.69
T0000678,O0000226,INV0000339,IL0000678,2026-08-26,2026-08-26,C00066,P0017,SO05,BU1,R01,USD,541,1445.88,123.69,1241.89,38.21,57.96,15.87,2.01,1037.2
T0000679,O0000227,INV0000340,IL0000679,2026-12-11,2026-12-11,C00348,P0137,SO05,BU4,R02,USD,527,1052.63,92.96,963.22,0.06,24.73,28.34,57.57,696.85
T0000680,O0000227,INV0000340,IL0000680,2025-11-27,2025-11-27,C00222,P0105,SO04,BU1,R03,USD,259,516.99,24.12,483.96,5.61,21.58,18.28,9.42,280.66
T0000681,O0000227,INV0000341,IL0000681,2026-03-07,2026-03-07,C00273,P0115,SO01,BU3,R01,USD,20,24.53,0.82,22.94,0.65,1.09,0.97,1.11,13.32
T0000682,O0000228,INV0000341,IL0000682,2025-03-18,2025-03-18,C00470,P0064,SO02,BU3,R03,USD,346,366.41,2.3,363.01,6.87,0.56,6.33,20.26,178.34
T0000683,O0000228,INV0000342,IL0000683,2025-12-09,2025-12-09,C00431,P0065,SO03,BU4,R04,USD,230,332.21,31.85,283.96,8.3,15.01,6.91,1.45,181.48
T0000684,O0000228,INV0000342,IL0000684,2026-09-07,2026-09-07,C00318,P0113,SO04,BU4,R03,USD,924,1594.64,13.64,1595.16,2.9,2.92,19.98,7.26,1143.92
T0000685,O0000229,INV0000343,IL0000685,2025-05-11,2025-05-11,C00032,P0114,SO02,BU2,R04,USD,627,1135.31,49.03,1081.7,3.47,3.48,2.37,30.42,815.13
T0000686,O0000229,INV0000343,IL0000686,2026-09-25,2026-09-25,C00386,P0106,SO03,BU4,R01,USD,31,43.11,2.0,39.26,0.55,1.47,0.17,1.86,28.55
T0000687,O0000229,INV0000344,IL0000687,2025-01-27,2025-01-27,C00233,P0133,SO01,BU3,R01,USD,404,189.23,0.23,185.14,4.05,6.17,6.36,1.63,138.75
T0000688,O0000230,INV0000344,IL0000688,2026-06-06,2026-06-06,C00132,P0091,SO04,BU2,R02,USD,995,2104.13,93.55,1908.08,15.35,92.24,5.09,58.21,1193.6
T0000689,O0000230,INV0000345,IL0000689,2026-10-30,2026-10-30,C00387,P0092,SO05,BU2,R02,USD,1118,2516.17,37.09,2445.45,23.3,47.45,37.12,100.39,1213.46
T0000690,O0000230,INV0000345,IL0000690,2026-11-26,2026-11-26,C00075,P0015,SO03,BU4,R02,USD,1048,2480.83,138.79,2387.97,4.06,46.91,96.9,33.64,1635.75
T0000691,O0000231,INV0000346,IL0000691,2025-03-12,2025-03-12,C00175,P0049,SO01,BU4,R04,USD,967,1722.61,57.04,1586.89,29.89,91.24,42.45,18.03,1028.8
T0000692,O0000231,INV0000346,IL0000692,2026-04-11,2026-04-11,C00449,P0011,SO01,BU4,R01,USD,459,1210.06,77.29,1086.87,25.17,31.05,10.32,58.46,743.71
T0000693,O0000231,INV0000347,IL0000693,2025-12-06,2025-12-06,C00414,P0097,SO02,BU3,R03,USD,829,557.01,55.14,494.22,6.06,2.26,0.67,10.05,285.33
T0000694,O0000232,INV0000347,IL0000694,2025-07-19,2025-07-19,C00324,P0150,SO02,BU4,R02,USD,99,275.63,5.49,267.36,2.35,3.32,2.89,15.86,145.75
T0000695,O0000232,INV0000348,IL0000695,2025-09-09,2025-09-09,C00092,P0051,SO01,BU1,R02,USD,370,899.28,81.89,796.94,0.57,33.51,13.63,6.19,629.92
T0000696,O0000232,INV0000348,IL0000696,2025-08-04,2025-08-04,C00157,P0117,SO03,BU4,R03,USD,767,1795.78,118.68,1601.56,50.7,96.51,71.67,98.48,1305.29
T0000697,O0000233,INV0000349,IL0000697,2025-03-08,2025-03-08,C00061,P0037,SO05,BU1,R03,USD,398,275.34,10.41,263.52,3.09,9.08,10.76,0.85,151.02
T0000698,O0000233,INV0000349,IL0000698,2026-09-23,2026-09-23,C00301,P0049,SO03,BU2,R03,USD,612,1400.38,45.89,1339.86,2.24,61.28,48.89,90.82,1006.06
T0000699,O0000233,INV0000350,IL0000699,2026-05-16,2026-05-16,C00108,P0021,SO01,BU4,R02,USD,142,89.03,3.46,80.86,2.36,3.68,1.33,1.01,55.67
T0000700,O0000234,INV0000350,IL0000700,2026-12-31,2026-12-31,C00192,P0135,SO01,BU4,R04,USD,1023,1478.13,85.91,1338.06,28.3,64.28,38.42,83.82,795.26
T0000701,O0000234,INV0000351,IL0000701,2026-04-08,2026-04-08,C00442,P0061,SO03,BU1,R01,USD,457,455.63,40.49,390.71,7.81,23.44,6.82,3.67,288.94
T0000702,O0000234,INV0000351,IL0000702,2025-03-28,2025-03-28,C00152,P0114,SO02,BU1,R04,USD,730,580.06,2.39,568.5,8.91,10.73,10.47,14.63,348.67
T0000703,O0000235,INV0000352,IL0000703,2026-05-25,2026-05-25,C00163,P0070,SO03,BU1,R02,USD,60,39.56,0.92,37.22,0.77,0.78,0.13,1.34,28.32
T0000704,O0000235,INV0000352,IL0000704,2026-10-22,2026-10-22,C00041,P0071,SO03,BU4,R01,USD,211,104.78,3.77,100.2,1.72,1.92,2.83,5.23,57.63
T0000705,O0000235,INV0000353,IL0000705,2026-12-01,2026-12-01,C00433,P0071,SO02,BU3,R01,USD,292,830.94,62.52,708.56,18.44,41.7,0.28,40.79,468.53
T0000706,O0000236,INV0000353,IL0000706,2026-02-18,2026-02-18,C00485,P0104,SO04,BU3,R03,USD,34,48.97,2.51,45.72,1.12,0.4,0.78,2.4,26.62
T0000707,O0000236,INV0000354,IL0000707,2026-05-01,2026-05-01,C00120,P0133,SO04,BU3,R04,USD,1141,2513.39,181.6,2219.01,34.79,109.47,31.48,119.62,1338.62
T0000708,O0000236,INV0000354,IL0000708,2026-12-16,2026-12-16,C00214,P0054,SO05,BU3,R03,USD,931,2287.84,6.89,2189.42,9.54,109.95,27.96,76.6,1570.8
T0000709,O0000237,INV0000355,IL0000709,2026-11-06,2026-11-06,C00428,P0091,SO01,BU3,R02,USD,471,611.88,41.96,549.48,7.4,26.2,13.16,0.89,349.57
T0000710,O0000237,INV0000355,IL0000710,2025-02-02,2025-02-02,C00473,P0036,SO05,BU1,R01,USD,686,1164.21,93.04,1020.71,31.91,36.75,18.2,67.78,683.12
T0000711,O0000237,INV0000356,IL0000711,2025-03-07,2025-03-07,C00274,P0099,SO02,BU3,R01,USD,982,461.64,26.29,408.1,6.25,22.72,1.72,15.79,235.07
T0000712,O0000238,INV0000356,IL0000712,2025-02-02,2025-02-02,C00424,P0126,SO01,BU1,R04,USD,392,278.83,25.41,250.28,3.23,3.16,3.25,7.97,174.78
T0000713,O0000238,INV0000357,IL0000713,2026-01-13,2026-01-13,C00266,P0003,SO01,BU2,R01,USD,679,1680.8,69.06,1629.65,7.92,10.24,36.07,7.84,1031.86
T0000714,O0000238,INV0000357,IL0000714,2025-07-31,2025-07-31,C00067,P0053,SO05,BU2,R02,USD,895,2115.6,140.64,1924.22,10.08,66.92,26.26,96.55,1135.72
T0000715,O0000239,INV0000358,IL0000715,2026-04-15,2026-04-15,C00142,P0052,SO01,BU1,R03,USD,302,413.77,34.12,371.96,7.51,5.62,5.44,12.78,264.56
T0000716,O0000239,INV0000358,IL0000716,2026-04-19,2026-04-19,C00295,P0011,SO03,BU3,R04,USD,599,1141.45,104.89,1007.96,11.88,52.9,36.18,58.1,672.89
T0000717,O0000239,INV0000359,IL0000717,2025-06-29,2025-06-29,C00213,P0064,SO01,BU2,R03,USD,894,1253.75,114.2,1113.18,6.9,39.21,19.74,18.68,933.78
T0000718,O0000240,INV0000359,IL0000718,2025-06-11,2025-06-11,C00141,P0138,SO05,BU2,R03,USD,146,298.39,21.56,278.63,1.94,8.1,11.84,19.41,189.42
T0000719,O0000240,INV0000360,IL0000719,2025-03-20,2025-03-20,C00387,P0027,SO02,BU1,R02,USD,677,863.17,14.23,842.37,5.37,2.12,0.92,39.84,568.73
T0000720,O0000240,INV0000360,IL0000720,2026-04-18,2026-04-18,C00196,P0088,SO03,BU1,R02,USD,408,505.55,0.54,484.38,1.74,25.5,6.61,16.44,348.64
T0000721,O0000241,INV0000361,IL0000721,2025-03-11,2025-03-11,C00043,P0141,SO03,BU4,R02,USD,906,502.38,41.22,444.13,12.68,4.71,0.36,9.14,255.28
T0000722,O0000241,INV0000361,IL0000722,2026-07-02,2026-07-02,C00380,P0101,SO01,BU2,R02,USD,168,331.4,0.37,322.64,2.72,8.03,2.36,20.16,225.36
T0000723,O0000241,INV0000362,IL0000723,2026-06-30,2026-06-30,C00111,P0114,SO02,BU2,R04,USD,1080,2042.82,146.35,1822.8,54.97,43.89,25.19,0.6,1010.53
T0000724,O0000242,INV0000362,IL0000724,2026-01-22,2026-01-22,C00393,P0052,SO03,BU4,R01,USD,777,2025.17,40.5,1981.77,0.97,3.11,1.18,94.33,1437.36
T0000725,O0000242,INV0000363,IL0000725,2025-03-06,2025-03-06,C00113,P0025,SO01,BU2,R01,USD,352,104.72,5.37,97.56,2.56,1.86,2.63,6.38,68.58
T0000726,O0000242,INV0000363,IL0000726,2026-02-09,2026-02-09,C00481,P0110,SO04,BU4,R01,USD,485,364.14,12.98,345.82,1.9,8.05,4.61,11.11,214.47
T0000727,O0000243,INV0000364,IL0000727,2025-03-09,2025-03-09,C00337,P0072,SO05,BU4,R01,USD,765,227.43,20.14,199.43,2.8,9.6,4.54,9.95,172.24
T0000728,O0000243,INV0000364,IL0000728,2026-08-06,2026-08-06,C00088,P0065,SO04,BU4,R04,USD,674,1887.47,131.43,1669.09,38.39,100.94,52.38,74.23,1081.47
T0000729,O0000243,INV0000365,IL0000729,2026-12-06,2026-12-06,C00163,P0124,SO03,BU3,R02,USD,696,158.06,14.42,141.76,2.13,4.44,4.69,6.99,98.15
T0000730,O0000244,INV0000365,IL0000730,2025-01-14,2025-01-14,C00120,P0006,SO05,BU4,R04,USD,264,265.21,19.57,231.22,6.02,9.04,0.64,4.8,155.11
T0000731,O0000244,INV0000366,IL0000731,2025-06-05,2025-06-05,C00193,P0053,SO02,BU2,R01,USD,497,1314.81,78.64,1162.69,37.31,53.46,17.29,52.38,733.5
T0000732,O0000244,INV0000366,IL0000732,2025-02-10,2025-02-10,C00267,P0107,SO05,BU2,R02,USD,58,45.91,3.36,41.66,0.47,0.52,0.1,2.88,33.83
T0000733,O0000245,INV0000367,IL0000733,2026-12-05,2026-12-05,C00357,P0057,SO05,BU4,R03,USD,791,1243.69,22.83,1217.4,23.5,4.42,24.46,4.44,929.07
T0000734,O0000245,INV0000367,IL0000734,2025-05-25,2025-05-25,C00481,P0053,SO05,BU1,R01,USD,197,126.81,6.96,117.96,3.03,1.43,2.57,3.86,76.0
T0000735,O0000245,INV0000368,IL0000735,2025-06-18,2025-06-18,C00370,P0051,SO03,BU4,R01,USD,878,571.67,14.23,552.99,4.89,14.09,14.53,30.24,317.92
T0000736,O0000246,INV0000368,IL0000736,2025-03-23,2025-03-23,C00487,P0093,SO03,BU1,R04,USD,783,491.65,21.7,457.58,7.45,19.87,14.95,25.42,348.82
T0000737,O0000246,INV0000369,IL0000737,2025-01-21,2025-01-21,C00391,P0098,SO04,BU2,R04,USD,180,397.12,36.6,361.63,7.09,3.34,11.54,11.74,219.23
T0000738,O0000246,INV0000369,IL0000738,2026-04-10,2026-04-10,C00146,P0097,SO03,BU2,R01,USD,994,369.87,5.05,359.27,5.21,3.15,2.81,12.59,178.87
T0000739,O0000247,INV0000370,IL0000739,2026-01-19,2026-01-19,C00252,P0104,SO04,BU2,R02,USD,818,2266.84,84.59,2122.38,33.29,79.92,53.34,5.77,1347.55
T0000740,O0000247,INV0000370,IL0000740,2025-05-08,2025-05-08,C00198,P0145,SO01,BU2,R03,USD,407,902.36,86.36,770.4,20.88,37.3,12.58,34.24,612.3
T0000741,O0000247,INV0000371,IL0000741,2026-01-13,2026-01-13,C00357,P0015,SO03,BU1,R03,USD,878,1882.61,45.63,1798.35,1.95,84.19,47.51,87.8,1260.22
T0000742,O0000248,INV0000371,IL0000742,2026-10-23,2026-10-23,C00076,P0067,SO05,BU4,R02,USD,942,2544.53,37.5,2474.64,18.89,80.94,67.44,20.22,1336.39
T0000743,O0000248,INV0000372,IL0000743,2025-04-05,2025-04-05,C00330,P0099,SO03,BU1,R01,USD,174,272.22,5.14,253.96,3.45,12.42,2.75,17.2,153.7
T0000744,O0000248,INV0000372,IL0000744,2026-11-06,2026-11-06,C00454,P0098,SO04,BU3,R03,USD,640,1369.34,103.04,1168.84,37.97,65.48,5.99,65.25,876.83
T0000745,O0000249,INV0000373,IL0000745,2025-05-27,2025-05-27,C00138,P0054,SO03,BU1,R01,USD,640,126.14,2.12,125.39,1.86,0.67,3.9,3.66,75.3
T0000746,O0000249,INV0000373,IL0000746,2025-10-23,2025-10-23,C00376,P0111,SO01,BU2,R04,USD,371,437.89,30.83,416.69,2.6,4.38,16.61,23.75,265.44
T0000747,O0000249,INV0000374,IL0000747,2025-07-10,2025-07-10,C00103,P0016,SO01,BU2,R04,USD,402,350.75,31.65,311.47,4.3,12.09,8.76,3.62,253.64
T0000748,O0000250,INV0000374,IL0000748,2025-10-28,2025-10-28,C00044,P0097,SO04,BU4,R02,USD,576,202.52,0.6,201.25,1.43,5.4,6.16,3.75,97.75
T0000749,O0000250,INV0000375,IL0000749,2025-01-08,2025-01-08,C00341,P0150,SO02,BU2,R03,USD,208,154.67,12.25,142.21,1.74,4.42,5.95,4.84,85.75
T0000750,O0000250,INV0000375,IL0000750,2025-12-12,2025-12-12,C00310,P0110,SO01,BU3,R03,USD,769,1538.46,52.78,1473.09,14.55,20.27,22.23,62.98,910.11
T0000751,O0000251,INV0000376,IL0000751,2025-12-31,2025-12-31,C00448,P0085,SO04,BU4,R04,USD,16,22.4,1.56,19.38,0.49,1.09,0.12,1.18,14.53
T0000752,O0000251,INV0000376,IL0000752,2025-10-14,2025-10-14,C00487,P0064,SO02,BU4,R04,USD,935,1711.98,112.8,1548.74,24.41,38.9,12.87,103.81,1294.48
T0000753,O0000251,INV0000377,IL0000753,2025-11-26,2025-11-26,C00009,P0093,SO02,BU2,R01,USD,676,1345.31,31.42,1282.35,19.56,54.7,42.72,84.3,776.96
T0000754,O0000252,INV0000377,IL0000754,2026-05-03,2026-05-03,C00338,P0026,SO03,BU1,R01,USD,611,1100.53,78.35,974.97,28.72,53.04,34.55,2.17,749.09
T0000755,O0000252,INV0000378,IL0000755,2026-05-25,2026-05-25,C00408,P0023,SO05,BU2,R04,USD,1133,3190.41,148.93,2849.62,85.8,167.59,61.53,48.54,2014.38
T0000756,O0000252,INV0000378,IL0000756,2025-06-24,2025-06-24,C00386,P0023,SO04,BU4,R01,USD,900,2549.07,7.45,2463.9,71.04,45.78,39.1,124.04,1423.66
T0000757,O0000253,INV0000379,IL0000757,2026-11-13,2026-11-13,C00244,P0032,SO05,BU1,R02,USD,1104,2066.25,101.65,1895.97,49.31,37.82,18.5,122.61,1325.03
T0000758,O0000253,INV0000379,IL0000758,2025-03-08,2025-03-08,C00330,P0088,SO03,BU1,R01,USD,791,1523.47,119.6,1337.32,44.16,36.61,14.22,27.24,841.79
T0000759,O0000253,INV0000380,IL0000759,2025-04-25,2025-04-25,C00046,P0088,SO04,BU3,R03,USD,395,856.4,9.94,829.5,9.45,40.19,32.68,0.1,549.41
T0000760,O0000254,INV0000380,IL0000760,2025-03-05,2025-03-05,C00303,P0138,SO02,BU3,R04,USD,804,2248.14,71.86,2139.3,24.62,83.99,71.63,90.09,1406.28
T0000761,O0000254,INV0000381,IL0000761,2025-08-16,2025-08-16,C00055,P0102,SO01,BU1,R04,USD,1112,2730.85,86.27,2557.05,66.86,44.58,23.91,26.39,1830.75
T0000762,O0000254,INV0000381,IL0000762,2025-10-18,2025-10-18,C00075,P0009,SO05,BU4,R02,USD,665,668.13,66.17,581.74,2.47,36.63,18.88,33.75,410.18
T0000763,O0000255,INV0000382,IL0000763,2026-05-22,2026-05-22,C00150,P0097,SO02,BU2,R03,USD,692,406.69,29.15,349.95,10.35,20.9,3.66,22.61,278.99
T0000764,O0000255,INV0000382,IL0000764,2025-07-03,2025-07-03,C00439,P0125,SO03,BU1,R04,USD,622,1746.76,115.16,1530.21,44.46,95.21,38.28,72.61,1003.47
